Name,SC14CVMDECT,,,,
Reference,U,,,,
Datasheet,https://4donline.ihs.com/images/VipMasterIC/IC/RNCC/RNCC-S-A0015592214/RNCC-S-A0015785019-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0,,,,
Description,"A DECT Module with integrated transceiver and antenna. Offers a binary UART API and analog audio frontend.",,,,
Keywords,"DECT RF TELEPHONY",,,,
Footprint,,,,,
Footprint Filter,,,,,
Generator_Min_Aspect_Ratio,0.4,,,,
Generator_Split_Pin_Names,0,,,,
,,,,,
PIN,Name,Type,Side,Description,
"63,64",VBATIN,power_in,top,Main supply voltage < 3.45 V.,
25,VDDPA,power_in,top,CLASSD Audio Amplifier supply voltage up to 3.45 V.GND or leave unconnected if CLASSD Audio Amplifier is not used.,
,,,,,
"1,6,14,28,38,45,49,50,51,60,70,71,72,74,76,77,78,80",GND,power_in,bottom,,
,,,,,
29,PON/P1[6],input,left,"Power on, Switches on the device if Voltage > 1.5 V. May be directly connected to VBAT, also with Li-Ion batteries.After startup the software takes over then PON pin to keep the device on after which the PON pin may be released.",
,,space,left,,
52,RSTn,input,left,"Active low Reset input with Schmitt-trigger input, open-drain output. Input may not exceed 2.0 V. An internal capacitor of 47 nF is mounted on this pin.",
,,space,left,,
53,JTAG,bidirectional,left,JTAG-SDI+, one wire Debug interface with open-drain.
,,space,left,,
40,SPI_DI/PWM1/P0[7],bidirectional,left,I/O Port SPI Data Input,
41,SPI_DO/P0[6],bidirectional,left,I/O Port SPI Data Out,
42,SPI_CLK/P0[5],bidirectional,left,I/O Port SPI Clock,
43,SPI_EN/P0[4],bidirectional,left,I/O port SPI_EN: Active low.,
,,space,left,,
44,SCL2/URX2/P0[3],bidirectional,left,"I/O port Access bus clock, UART Serial In.",
46,SDA2/UTX2/P0[2],bidirectional,left,"I/O port Access bus data, UART Serial Out.",
,,space,left,,
47,URX/PWM0/P0[1],bidirectional,left,I/O port UART Serial In,
48,UTX/P0[0],output,left,I/O Port UART Serial Out,
,,space,left,,
54,PCM_FSC/SF/P2[5],bidirectional,left,I/O Port PCM_FSC: PCM Frame Sync,
